rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,ground_truth,_eval_key
3,Three Stars,could make it a little easier........,[],B00IX1I3G6,B00IX1I3G6,AE4ZS52KYGE7TEM5R63HRHWQRMYQ,1518720053406,0,True,NEUTRAL,77360
5,Needed to get some thing small  surprise my neighbor for helping me,Perfect,[],B06WVJBLBQ,B071X4ZX3X,AHR3F7IAEFAWF7ZYRF2LAAD7FVBA,1634753154083,0,True,POSITIVE,17240
2,Waste of money,Amazon sucks,[],B072F9T6VX,B018F4M89S,AHAK2C3JKFXGZDPACZ2RGVTKXCPA,1570069311759,0,True,NEGATIVE,44420
1,Ripped off,There was a link for this online that said I would get a $20 discount for spending $50 and it never gave me the discount.,[],B086KKT3RX,B086KKT3RX,AGIJ3PLHUWUZS5YLDNXTSHF4OUNQ,1663264356700,0,True,NEGATIVE,78124
5,Great that it comes with a box!,I always like to package my gift card with something else so it doesn’t get lost. The box that this comes with is perfect! Love the bright color.,[],B0763VZ9Z7,B079PMF9VC,AHGH2XIXANDLVLVKZFZYJW6TZ6RA,1673222779574,0,True,POSITIVE,33943
3,Credit for refilling was not awarded.,"This is the second time I've 'reloaded' the card, and did not get the 'bonus' amount for reloading.  It's still easy to use. and helps keep track of spending.",[],B00IX1I3G6,B00IX1I3G6,AGENAR6CM7ZGINABW4U5ROKVDSMA,1596341601303,0,True,NEUTRAL,58021
5,Five Stars,great,[],B00BXQIJ5S,B00BXQIGA6,AFAHAHSGLXD4H6D72XOUGSAQICTA,1453477915000,0,True,POSITIVE,131421
3,you have to pay a fee in order to buy a visa gift card,having to pay a 3.95 fee and when i add prime i had to pay 12.99 for the month but only received a refund of 1/2 back.  all of these fees and charges are rediculous. thanks,[],B07HJHK8Y5,B07HJHK8Y5,AHF3D4UQ4RMDHAMNS2TDHN37JACQ,1640628711450,1,True,NEUTRAL,94853
1,"Cover of the card looks like it was on a dirty floor, stepped on, bent & old. It Looks disgraceful!","I am shocked at the condition this gift card came in and I need to mail it out of state for Christmas. The cover of the card looks old and as if it had been laying on a dirty floor, stepped on, bent corners on the cardboard and it looks like it's very old, as even the white of the card cover is discolored. I am not pleased at all and so embarrassed to send this as a gift. I have never had this experience with any gift card order through Amazon.",[],B077JD9B94,B00PG23QFI,AHMS4JWQARKFX6HLAXRKQL2G6T4Q,1669908232140,0,False,NEGATIVE,46157
3,Easy to use.,Easy to use. Don’t like the extra fees.<br />Not necessary,[],B07HJD9FVV,B07HJD9FVV,AHPCUWXMB2ZXDVOAJ4C7RCG3LKDQ,1605264906146,0,True,NEUTRAL,12665
5,Five Stars,easier then a big bank statement,[],B00IX1I3G6,B00IX1I3G6,AE4GYRKINOCIONL5555JY35QEBQQ,1429309253000,0,True,POSITIVE,94216
