_eval_key,rating,title,text,actual,predicted,confidence,reason,error
130061,1,Never got bonus for adding $100,It was supposed to have a $2 bonus for a $100. Reload never got the $2.,NEGATIVE,NEGATIVE,high,"The reviewer expected a $2 bonus for reloading $100 but never received it, expressing clear disappointment.",
63404,5,Great Gift,No issues here!!!! Got exactly what I order and sooner than expected!!!  Thanks,POSITIVE,POSITIVE,high,"The review expresses satisfaction with the order arriving as expected and early, with an enthusiastic tone.",
108655,3,Not what i was looking for,I think I should have read the details better. I was thinking this will come with the gift cover!!!!,NEGATIVE,NEGATIVE,high,"The title and body both express disappointment that the product did not match expectations, specifically lacking the expected gift cover.",
124152,5,Making a purchase is so easy if you have a Amazon gift card on your acct.,On line purchases,POSITIVE,POSITIVE,medium,"The title expresses that purchasing is easy with an Amazon gift card, and the body 'On line purchases' reinforces the positive context of online shopping.",
151385,5,Almost Instantaneous,Extremely fast. The funds were literally there in two minutes. Even before the confirming e-mail!,POSITIVE,POSITIVE,high,"The reviewer praises the speed of the transaction, calling it extremely fast and noting funds arrived in two minutes.",
80850,5,able to bank up for later use,able to bank up for later use,POSITIVE,POSITIVE,medium,"The statement highlights a useful feature (banking up for later use) with no negative indicators, implying a favorable view.",
115375,1,This reload was offered to me with a gift in ...,This reload was offered to me with a gift in the amount of $10 with a purchase of $100. I only got $5 after all.,NEGATIVE,NEGATIVE,high,"The reviewer expected a $10 gift but received only $5, expressing disappointment with the offer.",
88635,1,This was incorrect,This was not my order nor was it delivered to me.  It just showed up in my order record.,NEGATIVE,NEGATIVE,high,"The review clearly states the item was not the order and was not delivered, indicating a negative experience.",
138559,5,Great idea if you don't know what to buy,I got this for my father-in-law who had just bought a new kindle. he loved it and bought a case as well as a few books from the online store. Great idea!,POSITIVE,POSITIVE,high,"The reviewer reports that the gift recipient loved it and bought additional items, ending with 'Great idea!', clearly expressing positive sentiment.",
39103,5,She can purchase what she needs for her new baby.,Well received by my niece,POSITIVE,POSITIVE,high,"The reviewer states the gift was well received and allows the niece to purchase needed baby items, indicating a positive sentiment.",
37160,5,It went well.,"That is all, it was easy, shipped without tax/shipping fees. And gave one of my family members a great Christmas.",POSITIVE,POSITIVE,high,"The review describes an easy, fee-free transaction that resulted in a great Christmas gift, clearly expressing satisfaction.",
121583,5,Easy,Easy,POSITIVE,POSITIVE,low,"The word 'Easy' is a positive descriptor, but the review is extremely short with no additional context.",
128370,1,too late,just got them today and people went back home so have to figure out what i can do with them,NEGATIVE,NEGATIVE,high,"The reviewer received the items too late for the intended occasion, expressing disappointment and uncertainty about what to do with them.",
82084,5,Quick!,Super easy and quick! Very pleased.,POSITIVE,POSITIVE,high,"The reviewer expresses satisfaction with the product being easy and quick, and states they are very pleased.",
9299,5,Amazon Gift Card for Birthday,Bought the Birthday gift card that was in a Birthday<br />gift 🎁 box with balloons on it . I was able to have it delivered the next day. Person it was for enjoyed the gift.,POSITIVE,POSITIVE,high,"The reviewer describes a successful purchase, timely delivery, and the recipient enjoying the gift, all clearly positive.",
17175,5,blah blah blah,blah blah blah,POSITIVE,NEGATIVE,low,"The review text is meaningless ('blah blah blah') and provides no clear sentiment, so I default to negative with low confidence.",
109699,5,Five Stars,Wish I would get more reloads on my account.,POSITIVE,POSITIVE,medium,"The title 'Five Stars' is clearly positive, and the body expresses a mild wish for more reloads without any negative criticism.",
18209,5,Great!,"Easy, and I loved getting the bonus. Hurray!",POSITIVE,POSITIVE,high,The title and body both express enthusiasm and satisfaction with the product and bonus.,
12861,5,Thank you,"As advertised, arrived quickly.",POSITIVE,POSITIVE,high,The title 'Thank you' and the body praising quick arrival and accurate description clearly express satisfaction.,
89100,4,Other than that they are pretty standard gift cards,What can really be said about gift cards? The came quickly through the mail and they were redeemed without issue! Other than that they are pretty standard gift cards.,POSITIVE,POSITIVE,high,"The reviewer notes the gift cards arrived quickly and redeemed without issue, which is a positive experience despite the neutral caveat about being standard.",
18943,3,using a gift card needs to be easier.,"Some gift cards work to reload your amazon gift card balance, but others don't. There should be an option for paying with a gift card that works to reload your balance, or to pay for part of your purchase balance.",NEGATIVE,NEGATIVE,high,"The review complains that using gift cards is inconsistent and difficult, and calls for a better option, indicating dissatisfaction.",
30089,1,Absolutely awful,Bought this gift card  as a gift and they went to use the gift card and there was no money on the card so thanks for taking my $50 and not giving me anything on the gift card and how embarrassing for the people I gave it to,NEGATIVE,NEGATIVE,high,"The reviewer explicitly calls the experience 'absolutely awful' and describes a gift card with no funds, causing embarrassment and loss of money.",
103103,5,Simplicity!,Make shopping easier!,POSITIVE,POSITIVE,high,"The title and body both express enthusiasm for making shopping easier, clearly positive.",
35673,5,"Get the gift card, order the deals directly from Omaha Steaks....","This is a great way to enjoy the flexibility of you Amazon card, but also capitalize in the email deals that Omaha Steaks sends out. Great deals regularly, wish I had a gift card today!",POSITIVE,POSITIVE,high,"The reviewer praises the gift card's flexibility and the regular great deals from Omaha Steaks, expressing a wish to have one today.",
26061,5,Five Stars,Thank you 🙂,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body 'Thank you 🙂' both clearly express satisfaction and gratitude.,
15835,5,It’s your money,I liked adding my own money on here to buy gifts. It was easy and fast.,POSITIVE,POSITIVE,high,The reviewer explicitly states they liked the experience and found it easy and fast.,
51169,5,No issues here!,Got it quick and it worked fine,POSITIVE,POSITIVE,high,"The review explicitly states there were no issues, delivery was quick, and the product worked fine, indicating a positive experience.",
21141,5,Gift cards.,I used them.,POSITIVE,POSITIVE,low,"The review states the gift cards were used, implying they worked, but the text is too brief to determine strong sentiment.",
71242,5,Easy to order and received quickly,Perfect gift,POSITIVE,POSITIVE,high,"The title praises the ordering and delivery speed, and the body calls it a perfect gift, clearly expressing satisfaction.",
134705,5,Great offer to share with friends,If I had to critique the gift cards I would have like if the cards were individually package.,POSITIVE,POSITIVE,medium,The title expresses strong approval and the body's minor packaging critique does not override the overall positive stance.,
60596,5,Nice!,This was for my 16 year old neice for Christmas. I didn't use the Christmas card because I had a gift card holder I wanted to use. The gift card was very cute.,POSITIVE,POSITIVE,high,"The reviewer describes the gift card as 'very cute' and the title is positive, indicating satisfaction with the product.",
47545,1,I paid for three one was delivered.,I paid for three and one was delivered.,NEGATIVE,NEGATIVE,high,"The review clearly states that only one of three paid items was delivered, indicating an incomplete order and a negative experience.",
3044,5,Five Stars,Very cute.,POSITIVE,POSITIVE,high,The title 'Five Stars' and body 'Very cute' both clearly express a positive opinion.,
38790,5,Nice Christmas gift card tin,It is a very cute gift card tin. The relatives were pleased.,POSITIVE,POSITIVE,high,"The reviewer calls the tin cute and states the relatives were pleased, clearly expressing satisfaction.",
56360,5,Very convenient.,"Was skeptical to buy these due to complaints of them not having the funds. That was not an issue for me. I purchased four at once, all of them had the full $25 on them. Highly suggest going online to activate opposed to calling — online the card can be registered to your name, address, and given a pin.",POSITIVE,POSITIVE,high,"The reviewer expresses satisfaction that the cards had full funds and recommends online activation, indicating a positive experience.",
