_eval_key,rating,title,text,actual,predicted,confidence,reason,emotion_llm,emotion_nrc,nrc_scores,error
77360,3,Three Stars,could make it a little easier........,NEUTRAL,NEUTRAL,low,"The three-star rating and mild complaint that it could be easier suggest slight dissatisfaction, but the tone is too restrained to be clearly negative.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
17240,5,Needed to get some thing small  surprise my neighbor for helping me,Perfect,POSITIVE,POSITIVE,medium,"The word 'Perfect' clearly expresses satisfaction with the purchase, and the title shows a positive intent to surprise a neighbor.",joy,anticipation,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 1, 'joy': 2, 'sadness': 0, 'surprise': 1, 'trust': 2}",
44420,2,Waste of money,Amazon sucks,NEGATIVE,NEGATIVE,high,The title 'Waste of money' and body 'Amazon sucks' both express clear dissatisfaction and frustration.,anger,anger,"{'anger': 1, 'anticipation': 1, 'disgust': 1, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
78124,1,Ripped off,There was a link for this online that said I would get a $20 discount for spending $50 and it never gave me the discount.,NEGATIVE,NEGATIVE,high,"The reviewer feels cheated by a promised discount that never applied, with the title 'Ripped off' clearly expressing anger.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
33943,5,Great that it comes with a box!,I always like to package my gift card with something else so it doesn’t get lost. The box that this comes with is perfect! Love the bright color.,POSITIVE,POSITIVE,high,The reviewer expresses clear satisfaction and delight with the included box and its bright color.,joy,joy,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 3, 'sadness': 1, 'surprise': 1, 'trust': 1}",
58021,3,Credit for refilling was not awarded.,"This is the second time I've 'reloaded' the card, and did not get the 'bonus' amount for reloading.  It's still easy to use. and helps keep track of spending.",NEUTRAL,NEGATIVE,medium,"The main complaint is the missing reload bonus for the second time, which overshadows the brief positive note that the card is easy to use.",anger,anticipation,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",
131421,5,Five Stars,great,POSITIVE,POSITIVE,high,The title 'Five Stars' and the word 'great' clearly express satisfaction and approval.,joy,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
94853,3,you have to pay a fee in order to buy a visa gift card,having to pay a 3.95 fee and when i add prime i had to pay 12.99 for the month but only received a refund of 1/2 back.  all of these fees and charges are rediculous. thanks,NEUTRAL,NEGATIVE,high,"The reviewer complains about unexpected fees and a partial refund, calling the charges 'rediculous,' which clearly expresses frustration and anger.",anger,anticipation,"{'anger': 2, 'anticipation': 4, 'disgust': 0, 'fear': 0, 'joy': 4, 'sadness': 0, 'surprise': 1, 'trust': 3}",
46157,1,"Cover of the card looks like it was on a dirty floor, stepped on, bent & old. It Looks disgraceful!","I am shocked at the condition this gift card came in and I need to mail it out of state for Christmas. The cover of the card looks old and as if it had been laying on a dirty floor, stepped on, bent corners on the cardboard and it looks like it's very old, as even the white of the card cover is discolored. I am not pleased at all and so embarrassed to send this as a gift. I have never had this experience with any gift card order through Amazon.",NEGATIVE,NEGATIVE,high,"The reviewer is repulsed and embarrassed by the dirty, bent, discolored condition of the gift card, clearly expressing strong dissatisfaction.",disgust,anticipation,"{'anger': 1, 'anticipation': 4, 'disgust': 4, 'fear': 0, 'joy': 4, 'sadness': 1, 'surprise': 3, 'trust': 3}",
12665,3,Easy to use.,Easy to use. Don’t like the extra fees.<br />Not necessary,NEUTRAL,NEGATIVE,medium,"The review praises ease of use but clearly disapproves of extra fees and calls them unnecessary, making the overall stance negative.",anger,trust,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",
